System Name,System Type,CPU Count,CPU Ppin,CPU Serial Number,Memory Count,Memory Size,Memory Speed,BIOS,Board Product,HW Config,Board Serial,PBA,SuperGroup,Group,Team,Division,Subdivision,Discipline,Val Team,Function,Pool,Product,Project,Processor,Domain,Activity,Owner,Site,Active State,System State,NGA Project,NGA Activity,NGA Config,Last Scan,BAT Result,HMA Version,Location,HMA Status
1a01u16cn3,BHS-AVC-GNR,2,"0000000000000000, 0000000000000000","3E343070K01246, 3E343070K01246",24,768.0,4800,,AvenueCity,,,M23789-405,,PSE,,,,,,,,GNR-AP,GNR,Granite Rapid AP,,,,RA,,offline,,,,2025-09-18T21:08:39,Pass,,,Not Running
1a01u29cn3,...-...-SPR,2,"E1203DBAE880F132, E1200992B5432F7D","73571BJ600396, 73571BJ600055",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203311,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-18T18:18:05,Pass,,,Not Running
1a02u16cn3,...-...-SPR,2,"E11F9F7F393EE53F, E11EDEEBC3B6850D","73571BJ600347, 73571BJ600220",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303371,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-18T22:05:21,Pass,,,Not Running
1a02u29cn3,...-...-SPR,2,"E11FDFD44C7EB528, E1204FE0CE53E6FD","73571BJ600665, 73571BJ600348",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203298,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-18T22:13:48,Pass,,,Not Running
1a03u16cn3,...-...-SPR,2,"E11FC6E7F3DCAD3C, E11F259782129C41","73571BJ600436, 73571BJ600677",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303405,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-18T22:21:18,Pass,,,Not Running
1a03u29cn3,...-...-SPR,2,"E11F67D04C51E52D, E11F1B887B61F260","73571BJ600688, 73571BJ600536",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203299,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:06:16,Pass,,,Not Running
1a04u16cn3,...-...-SPR,2,"E120096446A96163, E1201BD9B8BE324B","73571BJ600551, 73571BJ600121",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303420,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-18T22:26:35,Pass,,,Not Running
1a04u29cn3,...-...-SPR,2,"E11F5B549000E943, E11ECFAFAFF9408B","73571BJ600277, 73571BJ600360",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303379,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,online,,,,2025-09-19T01:09:27,Pass,,,Not Running
1a05u16cn3,...-...-SPR,2,"E11F42D0007F9F6A, E11FF791799582CA","73571BJ600428, 73571BJ600162",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303393,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:21:52,Pass,,,Not Running
1a05u29cn3,...-...-SPR,2,"E11F4D6AA44EA177, E11F1B92F3D941C4","73571BJ600127, 73571BJ600365",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303364,YZMB-02866-105,DCAI,PSE,,,,,Labs,Labs,,,,Sapphire Rapid,RASP,Execution,,RA,Validation,offline,,,,2025-09-19T01:16:21,Pass,,,Not Running
1a06u16cn3,...-...-SPR,2,"E11EDEEFF7E9FC12, E11F679FD50062F6","73571BJ600554, 73571BJ600324",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303415,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:28:39,Pass,,,Not Running
1a06u29,KYT-GA3-SPR,2,"E11EDF5B5F21FD4C, E11EFF911C73E310",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C303370,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1a06u29cn3,...-...-SPR,2,"E11F257D8063EE16, E11F8ED9F55582CD","73571BJ600389, 73571BJ600628",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C303365,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:28:41,Pass,,,Not Running
1a07u16,...-...-...,0,,,0,0.0,0,,,,,,,,,,,,,,,,,Unknown,,,,RA,,offline,,,,,Unknown,,,Not Running
1a07u16cn3,...-...-SPR,2,"E11F9FD4AED2C369, E11EBB5A9231587D","73571BJ600432, 73571BJ600227",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203290,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:33:56,Pass,,,Not Running
1a07u29,KYT-GA3-SPR,2,"E1201BE0FE5DBE07, E11FE7F6FF715E00",", ",32,1024.0,4800,05.17.00,NF5280-M7-A0-R0-00,,23C203289,,,,,,,,,,,,,Sapphire Rapid,,,,RA,,offline,,,,2025-06-17T12:29:57,Unknown,,,Not Running
1a07u29cn3,...-...-SPR,2,"E1201BE0FE5DBE07, E11FE7F6FF715E00","73571BJ600150, 73571BJ600175",32,1024.0,4800,,NF5280-M7-A0-R0-00,,23C203289,YZMB-02866-105,,PSE,,,,,,,,,SPR,Sapphire Rapid,,,,RA,,offline,,,,2025-09-19T01:33:56,Pass,,,Not Running
