,ID,Failure Description,Status,Theory,Conducted Tests,cluster
0,14018151333,The issue involves EMR systems throttling due to external prochot when connected as 2Sockets. The problem does not occur when the second socket is removed or the UPI link is disabled to make it a 1-socket configuration. The core frequency drops significantly during the issue.,Rejected,Problem resolved after re-flashing the MAIN FPGA and changing a strap on the platform. It appears to be a platform issue related to CPLD code and strapping.,initial tests with updated cpld code and fixed strap were successful the system was tested with coreintensive workloads and issues were observed with uncoreintensive workloads leading to external prochot and system throttling,4
1,14018509356,"BIOS needs to change the mode to All2All when CXL Hetero is chosen for boot. This means that if a previous, non-hetero mode is SNC, UMA, it must be put in A2A mode.",Rejected,The issue was related to the BIOS configuration when CXL Hetero mode is selected.,the ticket was submitted and then rejected as it was filed in the wrong database it was suggested to be filed in the bios database,2
2,14019055430,Observing failing Rx JTOL results at 85C .92V with xtalk enabled on pcie and neighboring upi lanes.,Rejected,Not a defect.,converted to a low priority sighting since two different units had issues eq optimization seemed to work and slow units results were awaited,4
3,14019247088,Observing completely closed eye once xtalk is enabled and not able to reach 0 BER showing fast unit bathtub plot as a reference.,Rejected,Not a defect.,adriana collected typ  fast units data without xtalk so far units are passing without this,0
4,15013435531,"Regarding the XCC/MCC ES2 CPU PIROM size error issue, the CT phase is approaching. The several test scopes of the CT phase will be impacted by this issue even using the Dell WA.",Rejected,Merged.,the issue was merged with another ticket,2
5,15013435860,EMR XCC/MCC ES2 CPU has PIROM size display issue. The PIROM size at offset 01-02h is displayed in decimal as 128 when it should have been in hexadecimal value of 0x80h.,Complete,"The fuse was accidentally set using the decimal value even though the expectation is the value is in hex. On the A1 stepping, the fusing will be changed from 128h to 80h.",validation gap between ive and paiv was identified and a preventive ar was assigned,0
6,14019978515,Found issue on a RB. Host CA Training Complex Training Failure - Rambus RCD.,Rejected,Not a defect.,the same error was found on two other hosts,0
7,14019985093,"From the A1 VV 100 Boot Training Repeatability data, there is a higher than expected variability for the TX DFE TAP1, TAP2, and TAP3 parameters.",Rejected,Not a defect.,the team agreed that despite the flat dfe response behavior from samsung the upm does not show any risk for emr speeds up to 5600 in all the tested samsung configs,4
8,14020175013,"When tuning the EMR EPP settings for the improved LL in balanced mode, the core freq was stuck at 800 MHz & the uncore Freq was stuck at 800 MHZ.",Rejected,Tuning changes at this point in the project necessarily become feature requests to ensure proper visibility for changes.,the decision was made to change the slope value to 0 so the core freq would be able to ramp instead of being stagnant,0
9,14020314810,"The 'Active Idle Mode' violates the MAX_RATIO from MSR 0x620. The resolution of MSR 620h unCore frequency limits currently occurs before Active Idle, which should be after Active Idle's frequency request according to the EDS.",Rejected,Resolution of MSR 620h unCore frequency limits currently occurs before Active Idle. A clear reading of the EDS suggests MSR 620h's limits should be 'final'.,the ticket was cloned from a server feature request to initiate the erratum process it contains minimal new content and was intended to address the issue through the erratum process,2
