Area,Price
80.22,1026397.34
80.25,825169.13
80.54,1202457.24
80.76,1669485.27
80.9,1467061.51
81.24,397517.83
81.34,1174186.32
81.36,1087106.65
81.61,1116651.2
81.62,1458010.75
81.64,1250770.5
81.83,1182048.35
82.16,1206363.44
82.27,1336379.22
82.32,1446019.3
82.57,1327383.13
82.89,1079145.3
82.89,1037329.97
82.97,1355821.3
83.28,1427545.27
83.89,931597.61
83.99,1184063.44
84.05,1787234.11
84.1,1265320.83
84.45,939573.58
84.49,1772706.77
84.5,1136864.9
84.59,1515222.6
84.77,980372.66
84.93,1773989.71
85.03,1596548.19
85.1,1326105.77
85.24,1443935.72
85.48,1494158.49
85.53,1486821.88
85.96,1315641.1
86.18,1227395.39
86.27,1175376.87
86.58,1250870.51
86.72,1159885.89
86.78,1377008.24
87.03,1501844.5
87.29,1531090.41
87.53,1521037.98
87.82,1816548.66
87.88,1488418.46
88.04,1710960.44
88.3,1447950.68
88.47,1513857.92
88.5,1634635.24
88.73,1643843.88
88.94,1267811.95
89.1,1783838.26
89.11,1725535.18
89.24,1896416.39
89.42,1708262.33
89.65,1806489.55
89.68,1928379.92
89.73,1627568.85
90.11,1704932.4
90.25,1815241.07
90.52,1746179.06
90.77,1532893.2
90.9,1949704.39
91.49,1334837.84
91.89,1652458.64
91.9,1856077.42
91.92,1646732.06
92.08,1922289.42
92.38,1658774.97
92.64,1290836.48
93.07,1808867.41
93.46,1247064.59
94.63,1688757.64
94.71,1873279.71
94.75,1731923.07
94.99,2058683.48
94.99,2219498.44
95.07,1887902.01
95.17,1798508.09
95.33,2004637.64
96.09,2090574.19
96.4,1655897.99
97.16,2226732.04
97.3,2269763.15
97.43,2240648.77
97.59,1884435.73
97.74,1791107.38
98.12,1878100.02
98.34,1744785.58
98.4,2426680.8
98.8,2049183.23
98.94,2004397.53
99.11,2034906.12
99.22,2476239.79
99.48,1959956.93
99.65,1838043.2
100.22,2331235.43
100.28,2373014.79
100.34,2086761.96
100.41,2556137.7
100.45,2304664.05
100.71,2183754.73
100.94,2129887.31
101.51,1888442.13
101.85,2124531.43
102.03,2306031.81
102.09,2444426.5
102.58,1798552.41
102.82,2024167.88
102.82,2459005.38
103.09,2552693.15
103.16,2230804.19
103.17,2172394.45
103.97,2001764.05
104.05,2328643.72
104.12,2258165.29
104.14,2169256.19
104.16,1996545.29
104.21,2042609.74
104.58,2143145.91
104.87,2345196.92
105.04,2172106.68
105.28,2539780.61
105.43,2287109.56
106.01,2343496.24
106.04,2563615.44
106.24,2670943.81
106.39,2421081.23
106.5,2245797.74
106.8,2185874.02
106.93,2396791.37
107.01,1938737.21
107.5,2309908.07
107.68,1836353.51
107.71,2248810.04
107.93,1994504.81
108.22,2495978.64
108.54,2150211.82
109.31,2243341.11
109.57,1922064.69
109.72,1990244.74
110.14,2339655.81
110.25,2317977.36
110.26,2556479.84
110.32,2672992.82
110.37,2640815.66
110.51,2628200.77
110.67,2512168.15
111.14,2594476.4
111.71,2495591.59
112.2,2830382.85
112.23,2581457.99
112.37,2462315.61
112.46,2114856.9
112.58,2244026.95
112.67,2059154.1
112.9,2327190.6
113.13,2486026.47
113.23,2585385.99
113.33,2636913.42
113.79,2612097.21
113.95,2801893.81
114.16,2760057.91
114.52,2504425.54
114.56,2517902.67
114.57,2593480.68
115.13,2818364.47
115.2,2423943.07
115.39,2632139.45
115.42,3108136.83
115.58,2654649.12
115.75,3179667.71
115.79,3011071.36
115.8,2469671.75
115.81,2695660.65
115.83,2940805.29
115.93,2604576.45
116.13,2877453.86
116.38,3118864.1
116.52,3044484.66
116.95,3045352.33
117.43,2623858.58
117.5,2751178.47
117.52,2963378.34
117.65,2832161.98
117.85,2854477.91
118.04,2948509.34
118.53,2952234.51
118.8,3359465.17
118.93,3053477.62
119.01,3320136.01
119.42,3219276.67
119.47,2691292.4
119.61,2701246.37
119.82,2782679.34
120.35,2607560.79
120.4,2893376.0
120.47,3252650.98
120.85,2830641.49
